mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,011,Total Unión Europea,28036,Casarrubuelos,105,036,105
2019-07,110,Francia,28036,Casarrubuelos,36,036,36
2019-07,000,Total,28037,Cenicientos,36,037,36
2019-07,000,Total,28038,Cercedilla,281,038,281
2019-07,010,Total Europa,28038,Cercedilla,223,038,223
2019-07,011,Total Unión Europea,28038,Cercedilla,176,038,176
2019-07,030,Total América,28038,Cercedilla,47,038,47
2019-07,031,Total América del Norte,28038,Cercedilla,31,038,31
2019-07,102,Austria,28038,Cercedilla,42,038,42
2019-07,110,Francia,28038,Cercedilla,32,038,32
2019-07,125,Reino Unido,28038,Cercedilla,34,038,34
2019-07,000,Total,28040,Ciempozuelos,1274,040,1274
2019-07,010,Total Europa,28040,Ciempozuelos,1143,040,1143
2019-07,011,Total Unión Europea,28040,Ciempozuelos,1081,040,1081
2019-07,020,Total África,28040,Ciempozuelos,32,040,32
2019-07,030,Total América,28040,Ciempozuelos,83,040,83
2019-07,031,Total América del Norte,28040,Ciempozuelos,41,040,41
2019-07,033,Total Sudamérica,28040,Ciempozuelos,36,040,36
2019-07,103,Bélgica,28040,Ciempozuelos,74,040,74
2019-07,107,Dinamarca,28040,Ciempozuelos,224,040,224
2019-07,110,Francia,28040,Ciempozuelos,222,040,222
2019-07,115,Italia,28040,Ciempozuelos,61,040,61
2019-07,121,Países Bajos,28040,Ciempozuelos,106,040,106
2019-07,122,Polonia,28040,Ciempozuelos,38,040,38
2019-07,123,Portugal,28040,Ciempozuelos,53,040,53
2019-07,125,Reino Unido,28040,Ciempozuelos,49,040,49
2019-07,126,Alemania,28040,Ciempozuelos,121,040,121
2019-07,131,Suecia,28040,Ciempozuelos,80,040,80
2019-07,302,EE.UU.,28040,Ciempozuelos,39,040,39
2019-07,000,Total,28041,Cobeña,202,041,202
2019-07,010,Total Europa,28041,Cobeña,164,041,164
2019-07,011,Total Unión Europea,28041,Cobeña,127,041,127
2019-07,030,Total América,28041,Cobeña,33,041,33
2019-07,102,Austria,28041,Cobeña,45,041,45
2019-07,110,Francia,28041,Cobeña,35,041,35
2019-07,125,Reino Unido,28041,Cobeña,31,041,31
2019-07,000,Total,28043,Colmenar de Oreja,132,043,132
2019-07,010,Total Europa,28043,Colmenar de Oreja,124,043,124
2019-07,011,Total Unión Europea,28043,Colmenar de Oreja,112,043,112
2019-07,110,Francia,28043,Colmenar de Oreja,53,043,53
2019-07,000,Total,28044,Colmenarejo,344,044,344
2019-07,010,Total Europa,28044,Colmenarejo,276,044,276
2019-07,011,Total Unión Europea,28044,Colmenarejo,224,044,224
2019-07,030,Total América,28044,Colmenarejo,51,044,51
2019-07,031,Total América del Norte,28044,Colmenarejo,30,044,30
2019-07,110,Francia,28044,Colmenarejo,62,044,62
2019-07,121,Países Bajos,28044,Colmenarejo,43,044,43
2019-07,125,Reino Unido,28044,Colmenarejo,40,044,40
2019-07,126,Alemania,28044,Colmenarejo,30,044,30
2019-07,302,EE.UU.,28044,Colmenarejo,30,044,30
2019-07,000,Total,28045,Colmenar Viejo,1434,045,1434
2019-07,010,Total Europa,28045,Colmenar Viejo,1218,045,1218
2019-07,011,Total Unión Europea,28045,Colmenar Viejo,1076,045,1076
2019-07,020,Total África,28045,Colmenar Viejo,48,045,48
2019-07,030,Total América,28045,Colmenar Viejo,146,045,146
2019-07,031,Total América del Norte,28045,Colmenar Viejo,102,045,102
2019-07,033,Total Sudamérica,28045,Colmenar Viejo,37,045,37
2019-07,102,Austria,28045,Colmenar Viejo,60,045,60
2019-07,103,Bélgica,28045,Colmenar Viejo,50,045,50
2019-07,110,Francia,28045,Colmenar Viejo,363,045,363
2019-07,115,Italia,28045,Colmenar Viejo,37,045,37
2019-07,117,Luxemburgo,28045,Colmenar Viejo,34,045,34
2019-07,121,Países Bajos,28045,Colmenar Viejo,194,045,194
2019-07,122,Polonia,28045,Colmenar Viejo,35,045,35
2019-07,123,Portugal,28045,Colmenar Viejo,62,045,62
2019-07,125,Reino Unido,28045,Colmenar Viejo,131,045,131
2019-07,126,Alemania,28045,Colmenar Viejo,107,045,107
2019-07,131,Suecia,28045,Colmenar Viejo,37,045,37
2019-07,228,Marruecos,28045,Colmenar Viejo,42,045,42
2019-07,302,EE.UU.,28045,Colmenar Viejo,70,045,70
2019-07,000,Total,28046,Collado Mediano,241,046,241
2019-07,010,Total Europa,28046,Collado Mediano,205,046,205
2019-07,011,Total Unión Europea,28046,Collado Mediano,159,046,159
2019-07,110,Francia,28046,Collado Mediano,52,046,52
2019-07,121,Países Bajos,28046,Collado Mediano,33,046,33
2019-07,125,Reino Unido,28046,Collado Mediano,43,046,43
2019-07,000,Total,28047,Collado Villalba,1703,047,1703
2019-07,010,Total Europa,28047,Collado Villalba,1312,047,1312
2019-07,011,Total Unión Europea,28047,Collado Villalba,1124,047,1124
2019-07,020,Total África,28047,Collado Villalba,78,047,78
2019-07,030,Total América,28047,Collado Villalba,197,047,197
2019-07,031,Total América del Norte,28047,Collado Villalba,111,047,111
2019-07,033,Total Sudamérica,28047,Collado Villalba,81,047,81
2019-07,040,Total Asia,28047,Collado Villalba,113,047,113
2019-07,102,Austria,28047,Collado Villalba,69,047,69
2019-07,103,Bélgica,28047,Collado Villalba,38,047,38
2019-07,104,Bulgaria,28047,Collado Villalba,45,047,45
2019-07,110,Francia,28047,Collado Villalba,349,047,349
2019-07,115,Italia,28047,Collado Villalba,43,047,43
2019-07,117,Luxemburgo,28047,Collado Villalba,47,047,47
2019-07,121,Países Bajos,28047,Collado Villalba,251,047,251
2019-07,123,Portugal,28047,Collado Villalba,50,047,50
2019-07,125,Reino Unido,28047,Collado Villalba,156,047,156
2019-07,126,Alemania,28047,Collado Villalba,88,047,88
2019-07,128,Rumania,28047,Collado Villalba,30,047,30
2019-07,131,Suecia,28047,Collado Villalba,64,047,64
2019-07,228,Marruecos,28047,Collado Villalba,64,047,64
2019-07,302,EE.UU.,28047,Collado Villalba,74,047,74
2019-07,343,Colombia,28047,Collado Villalba,38,047,38
2019-07,407,China,28047,Collado Villalba,37,047,37
2019-07,430,Republica de corea - corea del sur,28047,Collado Villalba,59,047,59
2019-07,000,Total,28048,Corpa,46,048,46
2019-07,010,Total Europa,28048,Corpa,42,048,42
2019-07,011,Total Unión Europea,28048,Corpa,37,048,37
2019-07,000,Total,28049,Coslada,2725,049,2725
2019-07,010,Total Europa,28049,Coslada,2095,049,2095
2019-07,011,Total Unión Europea,28049,Coslada,1611,049,1611
2019-07,030,Total América,28049,Coslada,459,049,459
2019-07,031,Total América del Norte,28049,Coslada,311,049,311
2019-07,033,Total Sudamérica,28049,Coslada,143,049,143
2019-07,040,Total Asia,28049,Coslada,143,049,143
2019-07,102,Austria,28049,Coslada,79,049,79
2019-07,103,Bélgica,28049,Coslada,80,049,80
2019-07,110,Francia,28049,Coslada,247,049,247
2019-07,115,Italia,28049,Coslada,107,049,107
2019-07,116,Liechtenstein,28049,Coslada,227,049,227
2019-07,117,Luxemburgo,28049,Coslada,33,049,33
2019-07,121,Países Bajos,28049,Coslada,219,049,219
2019-07,122,Polonia,28049,Coslada,57,049,57
2019-07,123,Portugal,28049,Coslada,120,049,120
2019-07,125,Reino Unido,28049,Coslada,200,049,200
2019-07,126,Alemania,28049,Coslada,264,049,264
2019-07,128,Rumania,28049,Coslada,203,049,203
2019-07,131,Suecia,28049,Coslada,134,049,134
2019-07,302,EE.UU.,28049,Coslada,259,049,259
2019-07,340,Argentina,28049,Coslada,41,049,41
2019-07,407,China,28049,Coslada,70,049,70
2019-07,000,Total,28050,Cubas de la Sagra,134,050,134
2019-07,010,Total Europa,28050,Cubas de la Sagra,123,050,123
2019-07,011,Total Unión Europea,28050,Cubas de la Sagra,116,050,116
2019-07,110,Francia,28050,Cubas de la Sagra,33,050,33
2019-07,000,Total,28051,Chapinería,40,051,40
2019-07,010,Total Europa,28051,Chapinería,36,051,36
2019-07,000,Total,28052,Chinchón,166,052,166
2019-07,010,Total Europa,28052,Chinchón,145,052,145
2019-07,011,Total Unión Europea,28052,Chinchón,116,052,116
2019-07,110,Francia,28052,Chinchón,36,052,36
2019-07,121,Países Bajos,28052,Chinchón,53,052,53
2019-07,000,Total,28053,Daganzo de Arriba,281,053,281
2019-07,010,Total Europa,28053,Daganzo de Arriba,260,053,260
2019-07,011,Total Unión Europea,28053,Daganzo de Arriba,256,053,256
2019-07,110,Francia,28053,Daganzo de Arriba,44,053,44
2019-07,121,Países Bajos,28053,Daganzo de Arriba,30,053,30
2019-07,123,Portugal,28053,Daganzo de Arriba,55,053,55
2019-07,126,Alemania,28053,Daganzo de Arriba,45,053,45
2019-07,000,Total,28054,"Escorial, El",745,054,745
2019-07,010,Total Europa,28054,"Escorial, El",644,054,644
2019-07,011,Total Unión Europea,28054,"Escorial, El",575,054,575
2019-07,030,Total América,28054,"Escorial, El",81,054,81
2019-07,031,Total América del Norte,28054,"Escorial, El",66,054,66
2019-07,110,Francia,28054,"Escorial, El",287,054,287
2019-07,121,Países Bajos,28054,"Escorial, El",70,054,70
2019-07,125,Reino Unido,28054,"Escorial, El",60,054,60
2019-07,126,Alemania,28054,"Escorial, El",44,054,44
