mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,Target
2019-07,125,REINO UNIDO,28041,COBEÑA,31,041,31
2019-07,000,TOTAL,28043,COLMENAR DE OREJA,132,043,132
2019-07,010,TOTAL EUROPA,28043,COLMENAR DE OREJA,124,043,124
2019-07,011,TOTAL UNIÓN EUROPEA,28043,COLMENAR DE OREJA,112,043,112
2019-07,110,FRANCIA,28043,COLMENAR DE OREJA,53,043,53
2019-07,000,TOTAL,28044,COLMENAREJO,344,044,344
2019-07,010,TOTAL EUROPA,28044,COLMENAREJO,276,044,276
2019-07,011,TOTAL UNIÓN EUROPEA,28044,COLMENAREJO,224,044,224
2019-07,030,TOTAL AMÉRICA,28044,COLMENAREJO,51,044,51
2019-07,031,TOTAL AMÉRICA DEL NORTE,28044,COLMENAREJO,30,044,30
2019-07,110,FRANCIA,28044,COLMENAREJO,62,044,62
2019-07,121,PAÍSES BAJOS,28044,COLMENAREJO,43,044,43
2019-07,125,REINO UNIDO,28044,COLMENAREJO,40,044,40
2019-07,126,ALEMANIA,28044,COLMENAREJO,30,044,30
2019-07,302,EE.UU.,28044,COLMENAREJO,30,044,30
2019-07,000,TOTAL,28045,COLMENAR VIEJO,1434,045,1434
2019-07,010,TOTAL EUROPA,28045,COLMENAR VIEJO,1218,045,1218
2019-07,011,TOTAL UNIÓN EUROPEA,28045,COLMENAR VIEJO,1076,045,1076
2019-07,020,TOTAL ÁFRICA,28045,COLMENAR VIEJO,48,045,48
2019-07,030,TOTAL AMÉRICA,28045,COLMENAR VIEJO,146,045,146
2019-07,031,TOTAL AMÉRICA DEL NORTE,28045,COLMENAR VIEJO,102,045,102
2019-07,033,TOTAL SUDAMÉRICA,28045,COLMENAR VIEJO,37,045,37
2019-07,102,AUSTRIA,28045,COLMENAR VIEJO,60,045,60
2019-07,103,BÉLGICA,28045,COLMENAR VIEJO,50,045,50
2019-07,110,FRANCIA,28045,COLMENAR VIEJO,363,045,363
2019-07,115,ITALIA,28045,COLMENAR VIEJO,37,045,37
2019-07,117,LUXEMBURGO,28045,COLMENAR VIEJO,34,045,34
2019-07,121,PAÍSES BAJOS,28045,COLMENAR VIEJO,194,045,194
2019-07,122,POLONIA,28045,COLMENAR VIEJO,35,045,35
2019-07,123,PORTUGAL,28045,COLMENAR VIEJO,62,045,62
2019-07,125,REINO UNIDO,28045,COLMENAR VIEJO,131,045,131
