GEOCODIGO,DESBDT,capacidad_zona,prop_riesgo,tasa_riesgo,tasa_mayores,poblacion_mayores,nombre_zona,nsec,t3_1,t1_1,t2_1,t2_2,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,area,densidad_hab_km
245,Sector Embarcaciones,7552,0.1226559375494532,0.01353655333699039,0.01115150431715544,0.11137075132978724,Sector Embarcaciones,15,38.09505078457447,30080,0.5093092619680851,0.4906907380319149,0.19703819148936172,0.691601682180851,0.11137075132978724,0.07040731715425533,0.12590426861702128,0.08271780252659575,0.07264423537234042,0.6657610970744681,0.06986976063829788,0.6230289062500001,0.6685000698138298,36844177.8095651,816.4112157821296
246,Sector III,4641,0.35143054076246616,0.01517053867368731,0.02208006478870832,0.32013997313272435,Sector III,17,48.684307243417514,18610,0.5081709027404621,0.4918290972595379,0.11592323481998926,0.5639379204728641,0.32013997313272435,0.05050087049973133,0.07291937667920473,0.05507468027941967,0.04332039226222461,0.3631493121977432,0.11715139172487908,0.41166443847393874,0.4659230574959699,5638440.23933438,3300.5581703561547
247,Sector Oficios,4667,0.19805496496169095,0.01111740207457652,0.01952269827521473,0.17992367800064354,Sector Oficios,10,42.92523077335622,18646,0.5228416711359005,0.47715832886409953,0.13846961278558403,0.6816067092137724,0.17992367800064354,0.07053336372412314,0.1335287353856055,0.09486375630161964,0.0802628982087311,0.5880200364689477,0.09062367263756302,0.5183513354070578,0.5697425882226751,1118112.72130571,16676.315048294564
248,Segovia,5803,0.19352946767533033,0.0056064619356699,0.00315479353861407,0.17634561170212765,Segovia,18,44.78436312199725,23312,0.5032894131777625,0.49671058682223745,0.07593279855868222,0.747726561427591,0.17634561170212765,0.19651868136582015,0.27566407000686344,0.05335671328071379,0.04703345058339053,0.6033543025051475,0.13499734471516817,0.5297774708304736,0.6125976707275222,802151.395978785,29061.845577859654
249,Segre,9445,0.2488839712629883,0.01581482277983665,0.01855773443381048,0.22674688442211055,Segre,26,44.41320411795821,37810,0.548313292779688,0.45168670722031207,0.14444095212906638,0.6288221872520496,0.22674688442211055,0.0912719439301772,0.16048966675482676,0.06333044432689765,0.0604424332187252,0.70488014281936,0.06131654324252843,0.5218984845279027,0.5560876567045755,2838705.14871201,13319.45306723924
250,Sevilla la Nueva,3122,0.1330913692462696,-8.247239273780765e-7,0.03180213665502648,0.12056216626698642,Sevilla la Nueva,6,38.89654512390088,12510,0.5051090487609913,0.4948909512390088,0.20614244604316545,0.6732953876898482,0.12056216626698642,0.11015198241406872,0.15538059152677858,0.05185142286171063,0.03760705835331734,0.3707631654676259,0.1299155235811351,0.5683719264588329,0.6532813589128696,80134483.2151365,156.11256849831412
251,Sierra de Guadarrama,3332,0.18094259500356427,0.00727604629999137,0.02681399923199504,0.16513445265278712,Sierra de Guadarrama,7,41.51944478024028,13401,0.5112465189164987,0.4887534810835012,0.15819888068054624,0.676656973360197,0.16513445265278712,0.29541691664801134,0.37423820610402214,0.03839620177598687,0.02528771733452727,0.2609153794492948,0.17386335348108348,0.4812920005969704,0.5820868965002611,961818.846580623,13932.97713768253
252,Silvano,9653,0.2397505337393413,0.00872164645421505,0.02143247630887551,0.2166385403694479,Silvano,25,44.58807624792445,38544,0.5266462095267745,0.47335379047322534,0.1410638205687007,0.6423015748235782,0.2166385403694479,0.09876615815691156,0.15650165265670404,0.07508041977999169,0.06594177303860524,0.5592592777085927,0.08855307700290577,0.4954197306973848,0.543387154939809,4974412.91238621,7748.452064368451
253,Simancas,6262,0.17801829841851644,0.00916939481617496,0.00807683556287084,0.16233637601634157,Simancas,22,42.57154551608122,24967,0.530420987703769,0.469579012296231,0.1436631793968038,0.6939973525053069,0.16233637601634157,0.1907285056274282,0.30855662274201945,0.04409952737613649,0.03238464372972324,0.32818877718588535,0.14922352305042658,0.5097350422557776,0.5957035687106982,2273477.38263619,10981.855456617624
254,Soto del Real,6640,0.16603882775381357,0.01510231954392053,0.03169228652789088,0.15155488852063875,Soto del Real,12,41.500181545646285,26552,0.497735010545345,0.502264989454655,0.1656327997890931,0.6828245066285026,0.15155488852063875,0.1238637428442302,0.16955819147333534,0.05834085191322687,0.0425626431153962,0.4121385959626393,0.12637167068394095,0.5257095397710153,0.602141680476047,228083251.711091,116.4136331835226
255,Sánchez Morate,4054,0.31837070196006434,0.01068110946551388,0.02079201708945372,0.28900952146937775,Sánchez Morate,15,46.82154688248664,16279,0.5225933349714356,0.4774066650285644,0.1259888445236194,0.5849996007125745,0.28900952146937775,0.2156143804902021,0.2660490877818048,0.03381080533202285,0.02421495177836476,0.20184532833712143,0.1739541372320167,0.4097814546348056,0.49619289268382577,448426.026615771,36302.531596696295
256,Torrelaguna,1648,0.20849475977316664,0.01203583801711918,0.01548226247231322,0.18910254584027883,Torrelaguna,6,42.96273253523262,6599,0.49857555690256095,0.5014244430974389,0.16958205788755873,0.6412976056978331,0.18910254584027883,0.1406090922867101,0.16774659796938932,0.04368743749052886,0.02982548871041067,0.29431327473859675,0.1282608273980906,0.5135444309743901,0.5887986816184271,125482833.590199,52.588866629765235
257,Torrelodones,8199,0.1528338599681411,0.00965172593493547,0.03642028212800771,0.13942306423027565,Torrelodones,13,40.07759908024201,32726,0.5114649086353358,0.48853509136466416,0.1832799028295545,0.6772994041434944,0.13942306423027565,0.07828743201124487,0.13899731711788793,0.09298244515064476,0.0768634908024201,0.5932272993949765,0.08559428588889569,0.5438128399437756,0.5944650216952881,66978026.6865623,488.608005027502
258,Torres de la Alameda,6832,0.13447109483779404,0.00876167829190334,0.01230407678400482,0.1226466096091684,Torres de la Alameda,15,38.61065609021451,27224,0.4906254003820159,0.5093745996179841,0.19926383338230977,0.6780661254775199,0.1226466096091684,0.08391927710843373,0.11191100499559212,0.05361932118718778,0.04032817367029091,0.3827061600058771,0.11885558698207464,0.5870177012929768,0.6645262231854246,209273757.858943,130.0879779601885
