id,intensidad,ocupacion,carga,vmed,tipo_elem_estacion,distrito,id_punto,cod_cent,nombre,Long,Lat
3500,37,1.0,2,0.0,URB,8.0,10368,76031,MONASTERIO SUSO Y YUSO O-E (MONASTERIO MONTESCLAROS - MONASTERIO BATUECAS),-3.70368970057757,40.5022784022617
3518,53,1.0,3,0.0,URB,8.0,10420,76050,MONASTERIO BATUECAS N-S(AV. MONASTERIO DE EL ESCORIAL-AV. MONASTERIO SILOS),-3.70470185363121,40.5038486606237
3533,908,1.0,27,86.0,URB,8.0,10692,76065,"(CARRIL BUS)  MONASTERIO ESCORIAL, 14 E-O (MONASTERIO DE LAS HUERTAS- SANTUARIO DE VALVERDE)",-3.70819554416164,40.5045721669276
3878,20,3.0,5,0.0,URB,11.0,5301,85024,PEDRO YAGUE S-N (Pº STA MARIA CABEZA-MARQUES JURA REAL),-3.70806293493731,40.3927609940657
4151,164,2.0,9,0.0,URB,17.0,5391,94010,SAN NORBERTO E-O(SAN TARSICIO-SAN ERASMO),-3.70543321779755,40.3396600989171
1022,0,0.0,0,0.0,URB,17.0,4850,27033,VILLALONSO ANTES Ø5 O-E (REAL PINTO-SAN JENARO),-3.70568082004365,40.3498194884985
3492,1672,3.0,46,81.0,URB,8.0,10377,76023,AV. SANTUARIO VALVERDE E-O(MONASTERIO DE GUADALUPE-MONASTERIO DE BATUECAS),-3.70361344328916,40.50546133451
1012,0,0.0,0,0.0,URB,17.0,3623,27004,AV. REAL PINTO S-N(PLATA-ARROYO BUENO),-3.7061603240417,40.3485567948678
4155,580,4.0,21,0.0,URB,17.0,6832,94014,AV. REAL PINTO S-N(SAN JENARO-DOMINGO PARRAGA),-3.70659291667688,40.3415439346402
4260,68,1.0,6,0.0,URB,6.0,3513,97020,Av.Reina Victoria E-O - Castillo Piñeiro -Av.Pablo Iglesias,-3.70691484098346,40.4470855771301
4170,487,9.0,25,0.0,URB,17.0,5397,94400,(TACTICO)MAGNESIA E-O(BISMUTO-AV. REAL PINTO),-3.70706350732944,40.3432305689618
3502,93,3.0,11,0.0,URB,8.0,10371,76033,MONASTERIO SUSO Y YUSO O-E (MONASTERIO HUELGAS - MONASTERIO BATUECAS),-3.70555138058878,40.5023758756357
