id_inf,grupo,tipo,nombre,CODMUN,DIRECCION,info,CMUN,CDIS,dist_aeropuerto,dist_intercambiador,dist_cercanias,dist_hospital,dist_universidad,dist_gob,dist_embajada,dist_ccomercial,X,Y
73,Transporte,Estaciones de Cercanías,Doce de Octubre,079,079,Líneas: C-5,079,12,6.493935630608899,1.4296263019793618,0,0.33574793626501914,0.4569159524373528,0.7429418053319999,1.1701505464361013,0.6754891247637285,-3.6989482088178383,40.3791050040719
74,Transporte,Estaciones de Cercanías,Orcasitas,079,079,Líneas: C-5,079,12,5.985865841475539,2.0438275243699136,0,1.0944724035684084,0.3962310130880107,0.7890538457631294,0.18599258013177583,0.8172896235597515,-3.7042185478407506,40.36709091352528
75,Transporte,Estaciones de Cercanías,Puente Alcocer,079,079,Líneas: C-5,079,17,6.302449191391806,1.0654354938247683,0,2.901143555214915,0.5013429487709805,0.4372477454488033,0.2337253280966941,0.8927566559587783,-3.705116655000891,40.350418548175526
76,Transporte,Estaciones de Cercanías,Zarzaquemada,074,074,Líneas: C-5,074,05,3.972585913726694,4.847757850517642,0,2.204472637223276,0.32107772432381537,0.8638478897118985,0.8325103794728151,0.4514444127915756,-3.74821541768982,40.34090438991843
77,Transporte,Estaciones de Cercanías,Leganés,074,074,Líneas: C-5,074,01,4.6222903762515735,6.376252578980492,0,0.40936916304817345,0.238915369977275,1.058569151553918,0.2065236879250063,0.4534951985653564,-3.771002084352626,40.328889696026216
78,Transporte,Estaciones de Cercanías,La Serna,058,058,Líneas: C-5,058,06,8.32081427695359,10.248491399101876,0,2.2550293449191496,0.5468952114266139,0.20402059628905303,0.09026751617685372,0.4128587307060339,-3.7926041763748146,40.2967791476525
79,Transporte,Estaciones de Cercanías,Fuenlabrada,058,058,Líneas: C-5,058,08,9.9249425305166,11.801089258566678,0,1.4557459334017382,2.7129145769804826,0.36118604190315673,3.652428244101738,1.143028209378132,-3.799585358623877,40.28313621898817
80,Transporte,Estaciones de Cercanías,Ramón y Cajal,079,079,"Líneas: C-3a, C-7, C-8",079,08,10.838916918257937,2.073670254044021,0,0.11339835240207194,0.5625504780669948,0.18235540393917796,0.07329687140735675,0.3217249141565743,-3.694732700527088,40.48811251292513
81,Transporte,Estaciones de Cercanías,Pitis,079,079,"Líneas: C-3a, C-7, C-8",079,08,13.628864426571528,4.438030049273379,0,0.70889182892632,0.7775188060712568,0.2775817781647846,0.09079051368998746,0.16242132532573422,-3.726361352434147,40.49525131673016
82,Transporte,Estaciones de Cercanías,Las Rozas,127,127,"Líneas: C-7, C-10",127,01,15.881195450485633,13.37710361599087,0,4.882281601406081,0.7775188060712568,0.2775817781647846,0.09079051368998746,0.16242132532573422,-3.868110114475832,40.49424688248975
83,Transporte,Estaciones de Cercanías,Majadahonda,080,080,"Líneas: C-7, C-10",080,02,13.049080652680564,10.49938075935251,0,2.4924421642241255,0.16888744417464688,0.22603929433048175,0.02005710046077674,0.8197936202199372,-3.846264406550337,40.474318639113136
84,Transporte,Estaciones de Cercanías,El Barrial - Centro Comercial Pozuelo,079,079,"Líneas: C-7, C-10",079,09,10.92813353598703,8.084960090849359,0,2.0392226610346698,0.18569110467073968,0.24580778513905455,1.6537020368125397,1.380660905529187,-3.807824381934408,40.46535802053584
85,Transporte,Estaciones de Cercanías,Pozuelo,115,115,"Líneas: C-7, C-10",115,02,8.838887594398916,5.992773303693755,0,2.1422842355018465,0.12108630894183414,0.5816010625510128,0.07434367774495944,0.4437693688767873,-3.8000674820568343,40.44747669201872
86,Transporte,Estaciones de Cercanías,Aravaca,079,079,"Líneas: C-7, C-10",079,09,8.756614356376,5.804291024986675,0,1.5308394774267686,1.3471831393863252,0.8923411152652422,0.8633712696318752,0.7995172766651537,-3.785612301289583,40.44867493067588
87,Transporte,Estaciones de Cercanías,Príncipe Pío,079,079,"Líneas: C-1, C-7, C-10",079,09,7.384770990306649,0.08833869167372739,0,1.4516040248425366,1.243236681452406,0.5607579655912991,0.6306837920479499,1.5311075165174737,-3.7191552508129506,40.42153090878617
88,Transporte,Estaciones de Cercanías,Pirámides,079,079,"Líneas: C-1, C-10",079,02,6.459490527860404,1.7388097355623733,0,0.7551627877572382,0.8203261474945829,1.904424116523319,1.808007044309534,0.9219512430219112,-3.711305682542097,40.40260641585576
89,Transporte,Estaciones de Cercanías,Delicias,079,079,"Líneas: C-1, C-10",079,02,7.690384033379495,0.959322466374493,0,1.4810620746437717,1.2259483203337969,0.10942517473702285,0.652424115225368,0.10457252399387491,-3.693008113308576,40.40048006144172
90,Transporte,Estaciones de Cercanías,El Goloso,079,079,Líneas: C-4b,079,08,16.25635797939909,10.008314787774218,0,2.7762360915478292,0.5823099107822677,0.12549351844723275,0.064003134423,0.4972065822666214,-3.713936027689981,40.55874217736855
91,Transporte,Estaciones de Cercanías,Tres Cantos,903,903,Líneas: C-4b,903,01,19.59924847421919,14.348683917606802,0,6.849491539910232,1.6994549257539404,0.8450641658517082,2.762634122945829,0.6032128451736022,-3.715552972252075,40.59854201470383
92,Transporte,Estaciones de Cercanías,Colmenar Viejo,045,045,Líneas: C-4b,045,01,26.878591834071695,20.840288885663032,0,12.513441762121504,0.16247528532230107,0.2671746333999201,0.14280936902308833,0.831964678940478,-3.7766291658710736,40.64519995139209
93,Transporte,Estaciones de Cercanías,Pinar de las Rozas,127,127,"Líneas: C-3a, C-8, C-10",127,01,19.187182064945535,16.62235679900945,0,6.491897552988369,0.4415073788140936,0.19021952824056,0.08403352217937284,0.4081445233265994,-3.882259790478902,40.52228288488853
94,Transporte,Estaciones de Cercanías,Las Matas,127,127,"Líneas: C-3a, C-8, C-10",127,01,22.697748098049235,19.8711239141952,0,3.1839033307407525,0.7747587124826433,0.5868358934545226,0.06966285580018365,0.6671224526177334,-3.8965696457197407,40.55222820511629
95,Transporte,Estaciones de Cercanías,Torrelodones,152,152,"Líneas: C-3a, C-8, C-10",152,01,27.409707660481587,24.995456366390176,0,2.6432885834419064,0.5162784410076953,0.4261777129050947,0.13336343079894664,0.40627766588922376,-3.9564545545515233,40.57445679186636
96,Transporte,Estaciones de Cercanías,Galapagar - La Navata,061,061,"Líneas: C-3a, C-8, C-10",061,01,30.993806397607823,28.58297930988481,0,5.800075041151554,0.3854716841031003,0.6805270534394091,0.1396484544945598,0.9682273361664304,-3.9820316636940345,40.60022321151414
