La Barquita,2301,restaurant,"[-3.6926415, 40.5091194]"
Kebap Montecarmelo,2302,fast_food,"[-3.6952422, 40.507194]"
Juan Pelotilla,2304,pub,"[-3.6957945, 40.5065419]"
Maza,2305,bar,"[-3.7034424, 40.5044943]"
El Peregrino,2301,restaurant,"[-3.7069933, 40.5043246]"
El Pilar,2301,restaurant,"[-3.655565, 40.5261547]"
El Guerrero,2301,restaurant,"[-3.6554468, 40.5262446]"
El Aprendiz de S.,2301,restaurant,"[-3.6551179, 40.5265044]"
Asador Lekeitio,2301,restaurant,"[-3.67212, 40.4548553]"
Mayte Commodore,2301,restaurant,"[-3.6855307, 40.4457819]"
La Figal de Pablo,2301,restaurant,"[-3.6199174, 40.5614296]"
Royal Thai,2301,restaurant,"[-3.6711103, 40.5113157]"
Burger King,2302,fast_food,"[-3.7008811, 40.4265261]"
Ninja Ramen,2301,restaurant,"[-3.70103, 40.4264788]"
Vips,2301,restaurant,"[-3.8743421, 40.4548737]"
Ginos,2301,restaurant,"[-3.8741978, 40.4549153]"
Palacio del Negralejo,2301,restaurant,"[-3.5179956, 40.4052724]"
,2304,pub,"[-3.512607, 40.7460379]"
La Taberna de Pernales,2301,restaurant,"[-3.7585722, 40.2906256]"
Select,2304,pub,"[-3.7585313, 40.2907471]"
,2307,biergarten,"[-3.7587035, 40.2906935]"
Bar La Oficina,2304,pub,"[-3.7575795, 40.2881474]"
Milenium,2304,pub,"[-3.7570415, 40.2873371]"
Lagarto,2304,pub,"[-3.7512137, 40.2897244]"
Facultad de Forestales,2303,cafe,"[-3.7238292, 40.4482368]"
McDonald's,2302,fast_food,"[-4.0189548, 40.637509]"
Ito Ita,2305,bar,"[-3.7948595, 40.4677937]"
,2303,cafe,"[-3.9410405, 40.4720015]"
Ría del Sella,2301,restaurant,"[-3.5813703, 40.4791886]"
Bar la Bodega,2304,pub,"[-3.6726938, 40.4411404]"
Asturias III,2301,restaurant,"[-3.4839478, 40.4452944]"
El Rey de Oros,2301,restaurant,"[-3.5033908, 40.568558]"
Gainza,2301,restaurant,"[-3.6938322, 40.3478745]"
Peña Francia,2301,restaurant,"[-3.6997727, 40.3492857]"
El Asador de Enrique,2301,restaurant,"[-3.7018541, 40.348488]"
Restaurante Los Amigos,2301,restaurant,"[-3.5833598, 40.4511971]"
Restaurante Casa Luis,2301,restaurant,"[-3.5818492, 40.4514584]"
Pepe's Mesón Restaurante,2301,restaurant,"[-3.6704199, 40.4828587]"
Lovely's Blue,2304,pub,"[-3.6681829, 40.4821954]"
La Negra Tomasa,2301,restaurant,"[-3.702398, 40.4158435]"
,2305,bar,"[-3.3955349, 40.4820954]"
,2304,pub,"[-3.3957353, 40.4820301]"
Burger King,2302,fast_food,"[-4.0042417, 40.6332254]"
El otro lado,2304,pub,"[-3.8711082, 40.4754295]"
Mood - Grupo Vips,2301,restaurant,"[-3.8720987, 40.4753341]"
La Parrilla Del Pinar,2301,restaurant,"[-3.6676942, 40.4833104]"
,2301,restaurant,"[-3.7030843, 40.4472205]"
McDonald's,2302,fast_food,"[-3.6519337, 40.5260083]"
El mercado de Alcobendas,2301,restaurant,"[-3.6509007, 40.5269009]"
Vips,2301,restaurant,"[-3.396781, 40.4815783]"
Ginos,2301,restaurant,"[-3.3961612, 40.4818007]"
WOK Parrilla,2301,restaurant,"[-3.4808456, 40.4473368]"
Taberna Extremeña,2304,pub,"[-3.7055037, 40.4766136]"
Rosca Pizza,2302,fast_food,"[-3.7102181, 40.4778978]"
Grence,2303,cafe,"[-3.6990001, 40.3522148]"
Cervecería San Miguel,2303,cafe,"[-3.69781, 40.3524844]"
Hidalgo,2304,pub,"[-3.700993, 40.3507362]"
Laumar,2303,cafe,"[-3.7009341, 40.3526051]"
Gelo,2303,cafe,"[-3.6979756, 40.3551356]"
La Vega,2303,cafe,"[-3.6975824, 40.3560126]"
Venta Carmona,2304,pub,"[-3.6963515, 40.3565863]"
La Pinilla,2303,cafe,"[-3.6977291, 40.3547142]"
Gallardo,2301,restaurant,"[-3.6995041, 40.3548451]"
Casa Conel,2301,restaurant,"[-3.6986993, 40.3543029]"
Atalaya,2303,cafe,"[-3.6984345, 40.3560711]"
Renato,2301,restaurant,"[-3.7044437, 40.3506214]"
Renato,2304,pub,"[-3.7045905, 40.350594]"
Nuevo Mundo,2301,restaurant,"[-3.8881823, 40.4055876]"
Seng,2301,restaurant,"[-3.8954814, 40.4050274]"
Museo del Jamón,2301,restaurant,"[-3.7056737, 40.4163433]"
Cervecería Postas Quince,2304,pub,"[-3.7060266, 40.4157937]"
Cervecería Postas,2304,pub,"[-3.7059152, 40.4158574]"
