ccaa,CPRO,CMUN,dist,secc,t1_1,t2_1,t2_2,t3_1,t4_1,t4_2,t4_3,t5_1,t6_1,t7_1,t8_1,t9_1,t10_1,t11_1,t12_1,NSEC,area,elevation,densidad_hab_km2
13,28,005,04,004,1380,0.508,0.492,41.6681,0.1413,0.7319,0.1268,0.0377,0.0594,0.1198,0.103,0.4835,0.0776,0.5316,0.5764,Alcalá de Henares - 04.004,115896.277000685,596,11907.198710031465
13,28,005,04,005,1859,0.497,0.503,37.2216,0.1888,0.7359,0.0753,0.0888,0.1226,0.0922,0.071,0.3249,0.1,0.5968,0.6631,Alcalá de Henares - 04.005,266137.969914157,594,6985.098746336816
13,28,005,04,006,1945,0.4874,0.5126,37.3239,0.1738,0.7666,0.0596,0.0833,0.1018,0.0909,0.0647,0.3124,0.1389,0.5862,0.6808,Alcalá de Henares - 04.006,336011.454356224,596,5788.493144456916
13,28,005,04,007,2926,0.5164,0.4836,37.1271,0.2266,0.6818,0.0916,0.0314,0.0612,0.0928,0.0795,0.5373,0.0734,0.6363,0.6867,Alcalá de Henares - 04.007,139001.810453992,596,21050.085538047588
13,28,005,04,008,2271,0.4852,0.5148,38.3435,0.2127,0.6856,0.1017,0.0542,0.0832,0.0811,0.0699,0.4927,0.0833,0.6152,0.6711,Alcalá de Henares - 04.008,153466.289052898,594,14798.038149063574
13,28,005,04,009,2206,0.5186,0.4814,36.3463,0.2235,0.7017,0.0748,0.0875,0.1201,0.0741,0.0607,0.3456,0.121,0.5978,0.6801,Alcalá de Henares - 04.009,564964.302288997,596,3904.6714828923127
13,28,005,04,010,2400,0.5008,0.4992,37.2917,0.2171,0.6967,0.0863,0.0563,0.0858,0.0852,0.0729,0.5072,0.0835,0.6253,0.6823,Alcalá de Henares - 04.010,296614.666096347,594,8091.305907376896
13,28,005,04,011,2427,0.4961,0.5039,36.6428,0.2427,0.6848,0.0725,0.0482,0.0824,0.0941,0.0811,0.5212,0.0808,0.6371,0.6931,Alcalá de Henares - 04.011,135292.346877768,594,17938.930442183148
13,28,005,04,012,1832,0.5338,0.4662,36.1796,0.2063,0.7205,0.0731,0.1332,0.1818,0.0653,0.053,0.2868,0.2236,0.5254,0.6768,Alcalá de Henares - 04.012,163722.273186032,594,11189.680941690574
13,28,005,04,013,2037,0.5115,0.4885,36.2921,0.2405,0.6838,0.0756,0.0285,0.0447,0.0782,0.0646,0.5139,0.0888,0.6231,0.6839,Alcalá de Henares - 04.013,104675.022035734,596,19460.229961113375
13,28,005,04,014,1840,0.4973,0.5027,37.9342,0.187,0.7413,0.0717,0.0473,0.0788,0.1063,0.0936,0.4826,0.0947,0.5876,0.6491,Alcalá de Henares - 04.014,136068.343968823,594,13522.616255413479
13,28,005,04,015,1215,0.5407,0.4593,35.8082,0.2173,0.6922,0.0905,0.0905,0.1737,0.0557,0.041,0.2187,0.3063,0.4143,0.5973,Alcalá de Henares - 04.015,2826176.85170939,621,429.9094019063658
13,28,005,04,016,1610,0.5186,0.4814,40.2273,0.1832,0.6957,0.1211,0.0292,0.0553,0.0798,0.0608,0.4426,0.0826,0.5574,0.6076,Alcalá de Henares - 04.016,148433.509709633,594,10846.607367497352
13,28,005,04,017,2662,0.4793,0.5207,30.6623,0.2765,0.7047,0.0188,0.0428,0.0702,0.053,0.0436,0.6142,0.066,0.8375,0.8967,Alcalá de Henares - 04.017,320359.720924286,616,8309.40916142558
13,28,005,04,018,2858,0.4962,0.5038,29.6515,0.2691,0.7131,0.0178,0.0563,0.0784,0.0517,0.0426,0.5735,0.0714,0.8277,0.8913,Alcalá de Henares - 04.018,246672.069534957,616,11586.232707205554
13,28,005,05,001,1202,0.5258,0.4742,44.7754,0.1265,0.6689,0.2047,0.3411,0.3652,0.0619,0.0524,0.2419,0.2034,0.4514,0.5667,Alcalá de Henares - 05.001,36578.7875135298,594,32860.57525978417
13,28,005,05,002,1634,0.5226,0.4774,47.8103,0.0991,0.6163,0.2846,0.2124,0.2607,0.0686,0.0611,0.3234,0.1611,0.3927,0.4681,Alcalá de Henares - 05.002,31798.6444476201,594,51385.838245136
13,28,005,05,003,1651,0.5342,0.4658,48.6729,0.1121,0.5809,0.3071,0.2508,0.2762,0.0553,0.0471,0.264,0.1751,0.3759,0.4557,Alcalá de Henares - 05.003,35238.1089698163,594,46852.68444496232
13,28,005,05,004,1194,0.5268,0.4732,49.6089,0.1147,0.5394,0.3459,0.2027,0.2278,0.0577,0.053,0.2138,0.1713,0.3661,0.4418,Alcalá de Henares - 05.004,21797.2664147132,594,54777.51096321185
13,28,005,05,005,1222,0.5417,0.4583,49.6277,0.1162,0.5311,0.3527,0.2291,0.2324,0.0565,0.05,0.2222,0.1996,0.3528,0.4407,Alcalá de Henares - 05.005,42712.3209823188,616,28610.011628866047
13,28,005,05,006,843,0.5314,0.4686,49.898,0.0854,0.5647,0.3499,0.1412,0.1578,0.0571,0.048,0.3917,0.1207,0.3969,0.4514,Alcalá de Henares - 05.006,28960.906623804,616,29108.204758586788
13,28,005,05,007,1854,0.5054,0.4946,45.7837,0.1262,0.6435,0.2303,0.0901,0.1176,0.0648,0.0537,0.3333,0.1448,0.4704,0.55,Alcalá de Henares - 05.007,86955.9373437084,616,21321.14328975311
13,28,005,05,008,992,0.5252,0.4748,46.6341,0.1109,0.628,0.2611,0.123,0.1744,0.0635,0.0567,0.3741,0.1537,0.4308,0.5091,Alcalá de Henares - 05.008,59485.6258520772,616,16676.2976061949
13,28,005,05,009,1394,0.5187,0.4813,41.1679,0.1549,0.6815,0.1636,0.1966,0.226,0.0475,0.0399,0.1562,0.2221,0.43120000000000003,0.5543,Alcalá de Henares - 05.009,16058098.0268219,667,86.80978268233265
13,28,005,05,010,778,0.5064,0.4936,46.4203,0.1324,0.5861,0.2815,0.1992,0.2249,0.04,0.0341,0.2296,0.1871,0.4119,0.5067,Alcalá de Henares - 05.010,15882.2439054922,616,48985.52148106494
13,28,005,05,011,1289,0.5314,0.4686,46.4329,0.1272,0.5873,0.2855,0.2033,0.2172,0.056,0.0471,0.2649,0.1682,0.4089,0.4916,Alcalá de Henares - 05.011,24609.5310599966,616,52378.08054357041
13,28,005,05,012,1854,0.5259,0.4741,44.3894,0.1483,0.6241,0.2276,0.2659,0.2832,0.0399,0.0348,0.235,0.194,0.4395,0.5453,Alcalá de Henares - 05.012,40506.2568523719,594,45770.70665297572
13,28,005,05,013,1059,0.5212,0.4788,47.594,0.1303,0.577,0.2927,0.05,0.0803,0.089,0.0847,0.6254,0.1131,0.4343,0.4897,Alcalá de Henares - 05.013,266368.778778679,616,3975.691163414861
13,28,005,05,014,2164,0.5102,0.4898,44.0134,0.1271,0.6844,0.1885,0.1262,0.158,0.0551,0.0466,0.3017,0.1482,0.4839,0.568,Alcalá de Henares - 05.014,47244.9341751574,616,45803.85257765658
13,28,005,05,015,1387,0.5191,0.4809,46.9351,0.0966,0.6597,0.2437,0.0469,0.0757,0.083,0.0734,0.573,0.0906,0.4964,0.5459,Alcalá de Henares - 05.015,151300.750720432,616,9167.17196309783
13,28,005,05,016,935,0.5123,0.4877,48.7444,0.108,0.5733,0.3187,0.0428,0.0824,0.0791,0.0695,0.5168,0.0712,0.4376,0.4712,Alcalá de Henares - 05.016,221662.784158313,616,4218.118993453668
