GEOCODIGO,campana,ano,semana,n_vacunas,tuits_gripe,interes_gripe
065,NA,2022,35,0,76,22
065,2022,2022,36,0,86,21
065,2022,2022,37,0,64,22
065,2022,2022,38,0,98,32
065,2022,2022,39,0,126,42
065,2022,2022,40,0,112,60
065,2022,2022,41,350,176,77
065,2022,2022,42,360,180,100
065,2022,2022,43,421,270,69
065,2022,2022,44,426,218,77
066,NA,2022,35,0,76,22
066,2022,2022,36,0,86,21
066,2022,2022,37,0,64,22
066,2022,2022,38,0,98,32
066,2022,2022,39,0,126,42
066,2022,2022,40,0,112,60
066,2022,2022,41,187,176,77
066,2022,2022,42,174,180,100
066,2022,2022,43,200,270,69
066,2022,2022,44,197,218,77
067,NA,2022,35,0,76,22
067,2022,2022,36,0,86,21
067,2022,2022,37,0,64,22
067,2022,2022,38,0,98,32
067,2022,2022,39,0,126,42
067,2022,2022,40,0,112,60
067,2022,2022,41,360,176,77
067,2022,2022,42,359,180,100
067,2022,2022,43,366,270,69
067,2022,2022,44,343,218,77
068,NA,2022,35,0,76,22
068,2022,2022,36,0,86,21
068,2022,2022,37,0,64,22
068,2022,2022,38,0,98,32
068,2022,2022,39,0,126,42
068,2022,2022,40,0,112,60
068,2022,2022,41,352,176,77
068,2022,2022,42,387,180,100
068,2022,2022,43,418,270,69
068,2022,2022,44,399,218,77
069,NA,2022,35,0,76,22
069,2022,2022,36,0,86,21
069,2022,2022,37,0,64,22
069,2022,2022,38,0,98,32
069,2022,2022,39,0,126,42
069,2022,2022,40,0,112,60
069,2022,2022,41,270,176,77
069,2022,2022,42,260,180,100
069,2022,2022,43,252,270,69
069,2022,2022,44,278,218,77
070,NA,2022,35,0,76,22
070,2022,2022,36,0,86,21
070,2022,2022,37,0,64,22
070,2022,2022,38,0,98,32
070,2022,2022,39,0,126,42
070,2022,2022,40,0,112,60
070,2022,2022,41,428,176,77
070,2022,2022,42,430,180,100
070,2022,2022,43,442,270,69
070,2022,2022,44,453,218,77
071,NA,2022,35,0,76,22
071,2022,2022,36,0,86,21
071,2022,2022,37,0,64,22
071,2022,2022,38,0,98,32
071,2022,2022,39,0,126,42
071,2022,2022,40,0,112,60
071,2022,2022,41,218,176,77
071,2022,2022,42,229,180,100
071,2022,2022,43,241,270,69
071,2022,2022,44,212,218,77
072,NA,2022,35,0,76,22
072,2022,2022,36,0,86,21
072,2022,2022,37,0,64,22
072,2022,2022,38,0,98,32
072,2022,2022,39,0,126,42
072,2022,2022,40,0,112,60
072,2022,2022,41,117,176,77
072,2022,2022,42,119,180,100
072,2022,2022,43,121,270,69
072,2022,2022,44,131,218,77
073,NA,2022,35,0,76,22
073,2022,2022,36,0,86,21
073,2022,2022,37,0,64,22
073,2022,2022,38,0,98,32
073,2022,2022,39,0,126,42
073,2022,2022,40,0,112,60
073,2022,2022,41,390,176,77
073,2022,2022,42,390,180,100
073,2022,2022,43,386,270,69
073,2022,2022,44,357,218,77
074,NA,2022,35,0,76,22
074,2022,2022,36,0,86,21
074,2022,2022,37,0,64,22
074,2022,2022,38,0,98,32
074,2022,2022,39,0,126,42
074,2022,2022,40,0,112,60
074,2022,2022,41,185,176,77
074,2022,2022,42,201,180,100
074,2022,2022,43,209,270,69
074,2022,2022,44,188,218,77
075,NA,2022,35,0,76,22
075,2022,2022,36,0,86,21
075,2022,2022,37,0,64,22
075,2022,2022,38,0,98,32
075,2022,2022,39,0,126,42
075,2022,2022,40,0,112,60
075,2022,2022,41,175,176,77
075,2022,2022,42,169,180,100
075,2022,2022,43,181,270,69
075,2022,2022,44,179,218,77
076,NA,2022,35,0,76,22
076,2022,2022,36,0,86,21
076,2022,2022,37,0,64,22
076,2022,2022,38,0,98,32
076,2022,2022,39,0,126,42
076,2022,2022,40,0,112,60
076,2022,2022,41,194,176,77
076,2022,2022,42,187,180,100
076,2022,2022,43,212,270,69
076,2022,2022,44,212,218,77
077,NA,2022,35,0,76,22
077,2022,2022,36,0,86,21
077,2022,2022,37,0,64,22
077,2022,2022,38,0,98,32
077,2022,2022,39,0,126,42
077,2022,2022,40,0,112,60
077,2022,2022,41,294,176,77
077,2022,2022,42,300,180,100
077,2022,2022,43,312,270,69
077,2022,2022,44,335,218,77
078,NA,2022,35,0,76,22
078,2022,2022,36,0,86,21
078,2022,2022,37,0,64,22
078,2022,2022,38,0,98,32
078,2022,2022,39,0,126,42
078,2022,2022,40,0,112,60
078,2022,2022,41,413,176,77
078,2022,2022,42,396,180,100
078,2022,2022,43,405,270,69
078,2022,2022,44,367,218,77
079,NA,2022,35,0,76,22
079,2022,2022,36,0,86,21
079,2022,2022,37,0,64,22
079,2022,2022,38,0,98,32
079,2022,2022,39,0,126,42
079,2022,2022,40,0,112,60
079,2022,2022,41,263,176,77
079,2022,2022,42,265,180,100
079,2022,2022,43,313,270,69
079,2022,2022,44,302,218,77
080,NA,2022,35,0,76,22
080,2022,2022,36,0,86,21
080,2022,2022,37,0,64,22
080,2022,2022,38,0,98,32
080,2022,2022,39,0,126,42
080,2022,2022,40,0,112,60
080,2022,2022,41,39,176,77
080,2022,2022,42,38,180,100
080,2022,2022,43,43,270,69
080,2022,2022,44,42,218,77
081,NA,2022,35,0,76,22
081,2022,2022,36,0,86,21
081,2022,2022,37,0,64,22
081,2022,2022,38,0,98,32
081,2022,2022,39,0,126,42
081,2022,2022,40,0,112,60
081,2022,2022,41,385,176,77
