mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto,Target
2019-07,121,PAÍSES BAJOS,28014,ARGANDA DEL REY,289,014,78.92,78.92
2019-07,123,PORTUGAL,28014,ARGANDA DEL REY,70,014,93.65,93.65
2019-07,125,REINO UNIDO,28014,ARGANDA DEL REY,101,014,123.22,123.22
2019-07,126,ALEMANIA,28014,ARGANDA DEL REY,129,014,102.04,102.04
2019-07,128,RUMANIA,28014,ARGANDA DEL REY,158,014,109.21,109.21
2019-07,131,SUECIA,28014,ARGANDA DEL REY,54,014,72.9,72.9
2019-07,302,EE.UU.,28014,ARGANDA DEL REY,120,014,119.05,119.05
2019-07,340,ARGENTINA,28014,ARGANDA DEL REY,30,014,86.91,86.91
2019-07,000,TOTAL,28015,ARROYOMOLINOS,891,015,86.78,86.78
2019-07,010,TOTAL EUROPA,28015,ARROYOMOLINOS,562,015,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28015,ARROYOMOLINOS,507,015,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28015,ARROYOMOLINOS,47,015,86.78,86.78
2019-07,040,TOTAL ASIA,28015,ARROYOMOLINOS,270,015,86.78,86.78
2019-07,102,AUSTRIA,28015,ARROYOMOLINOS,66,015,92.57,92.57
2019-07,110,FRANCIA,28015,ARROYOMOLINOS,155,015,76.36,76.36
2019-07,121,PAÍSES BAJOS,28015,ARROYOMOLINOS,91,015,78.92,78.92
2019-07,123,PORTUGAL,28015,ARROYOMOLINOS,33,015,93.65,93.65
2019-07,125,REINO UNIDO,28015,ARROYOMOLINOS,40,015,123.22,123.22
2019-07,126,ALEMANIA,28015,ARROYOMOLINOS,73,015,102.04,102.04
2019-07,407,CHINA,28015,ARROYOMOLINOS,263,015,359.08,359.08
2019-07,000,TOTAL,28016,"ATAZAR, EL",67,016,86.78,86.78
2019-07,010,TOTAL EUROPA,28016,"ATAZAR, EL",57,016,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28016,"ATAZAR, EL",54,016,86.78,86.78
2019-07,000,TOTAL,28017,BATRES,47,017,86.78,86.78
2019-07,010,TOTAL EUROPA,28017,BATRES,40,017,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28017,BATRES,37,017,86.78,86.78
2019-07,000,TOTAL,28018,BECERRIL DE LA SIERRA,92,018,86.78,86.78
2019-07,010,TOTAL EUROPA,28018,BECERRIL DE LA SIERRA,71,018,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28018,BECERRIL DE LA SIERRA,62,018,86.78,86.78
2019-07,000,TOTAL,28019,BELMONTE DE TAJO,75,019,86.78,86.78
2019-07,010,TOTAL EUROPA,28019,BELMONTE DE TAJO,68,019,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28019,BELMONTE DE TAJO,56,019,86.78,86.78
2019-07,000,TOTAL,28021,"BERRUECO, EL",198,021,86.78,86.78
2019-07,010,TOTAL EUROPA,28021,"BERRUECO, EL",177,021,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28021,"BERRUECO, EL",165,021,86.78,86.78
2019-07,110,FRANCIA,28021,"BERRUECO, EL",39,021,76.36,76.36
2019-07,126,ALEMANIA,28021,"BERRUECO, EL",50,021,102.04,102.04
2019-07,000,TOTAL,28022,BOADILLA DEL MONTE,2545,022,86.78,86.78
2019-07,010,TOTAL EUROPA,28022,BOADILLA DEL MONTE,2041,022,86.78,86.78
2019-07,011,TOTAL UNIÓN EUROPEA,28022,BOADILLA DEL MONTE,1722,022,86.78,86.78
2019-07,030,TOTAL AMÉRICA,28022,BOADILLA DEL MONTE,370,022,86.78,86.78
2019-07,031,TOTAL AMÉRICA DEL NORTE,28022,BOADILLA DEL MONTE,233,022,86.78,86.78
2019-07,033,TOTAL SUDAMÉRICA,28022,BOADILLA DEL MONTE,133,022,86.78,86.78
2019-07,040,TOTAL ASIA,28022,BOADILLA DEL MONTE,115,022,86.78,86.78
2019-07,102,AUSTRIA,28022,BOADILLA DEL MONTE,341,022,92.57,92.57
2019-07,103,BÉLGICA,28022,BOADILLA DEL MONTE,34,022,85.46,85.46
2019-07,107,DINAMARCA,28022,BOADILLA DEL MONTE,56,022,78.39,78.39
2019-07,110,FRANCIA,28022,BOADILLA DEL MONTE,356,022,76.36,76.36
2019-07,115,ITALIA,28022,BOADILLA DEL MONTE,64,022,88.99,88.99
2019-07,117,LUXEMBURGO,28022,BOADILLA DEL MONTE,38,022,86.78,86.78
2019-07,121,PAÍSES BAJOS,28022,BOADILLA DEL MONTE,391,022,78.92,78.92
2019-07,122,POLONIA,28022,BOADILLA DEL MONTE,37,022,60.79,60.79
